ZMon>rlkup *
0x4865F000 DPC_VS_PIPE1_STATUS0_REG
0x4865F004 DPC_VS_PIPE1_STATUS1_REG
0x4865F008 DPC_VS_PIPE1_STATUS2_REG
0x4865F00C DPC_VS_PIPE2_STATUS0_REG
0x4865F010 DPC_VS_PIPE2_STATUS1_REG
0x4865F014 DPC_VS_PIPE2_STATUS2_REG
0x4865F018 DPC_VS_PIPE3_STATUS0_REG
0x4865F01C DPC_VS_PIPE3_STATUS1_REG
0x4865F020 DPC_VS_PIPE3_STATUS2_REG
0x48660000 DPC_CBUF_BASE
0x48660000 DPC_CBUF_WRBUF_STATUS_REG
0x48660004 DPC_CBUF_RDBUF_STATUS_REG
0x48660008 DPC_CBUF_BUFCNT_ONETWO_STATUS_REG
0x4866000C DPC_CBUF_BUFCNT_THREEFOUR_STATUS_REG
0x48661000 DPC_CBUF_BUFFER_RAM1_START_REG
0x486613FC DPC_CBUF_BUFFER_RAM1_END_REG
0x48661400 DPC_CBUF_BUFFER_RAM2_START_REG
0x486617FC DPC_CBUF_BUFFER_RAM2_END_REG
0x48661800 DPC_CBUF_BUFFER_RAM3_START_REG
0x48661BFC DPC_CBUF_BUFFER_RAM3_END_REG
0x48661C00 DPC_CBUF_BUFFER_RAM4_START_REG
0x48661FFC DPC_CBUF_BUFFER_RAM4_END_REG
0x48664000 DPC_CMIF_BASE
0x48668000 DPC_XVDO_BASE
0x48668000 DPC_XVDO_CFG_REG
0x48668004 DPC_XVDO_SRC_SIZE_REG
0x48668008 DPC_XVDO_H_FIR_COEF_01_REG
0x4866800C DPC_XVDO_H_FIR_COEF_23_REG
0x48668010 DPC_XVDO_H_FIR_COEF_4_REG
0x48668014 DPC_XVDO_H_SCALE_PAR_REG
0x48668018 DPC_XVDO_H_DDA_PAR_REG
0x4866801C DPC_XVDO_H_DDA_START_REG
0x48668020 DPC_XVDO_V_SCALE_PAR_REG
0x48668024 DPC_XVDO_V_DDA_PAR_REG
0x48668028 DPC_XVDO_V_DDA_START_REG
0x4866802C DPC_XVDO_LUM_WRITEBACK_DST01_REG
0x48668030 DPC_XVDO_LUM_WRITEBACK_SIZE0_REG
0x48668034 DPC_XVDO_LUM_WRITEBACK_SIZE1_REG
0x48668038 DPC_XVDO_CHM_WRITEBACK_DST01_REG
0x4866803C DPC_XVDO_CHM_WRITEBACK_SIZE0_REG
0x48668040 DPC_XVDO_CHM_WRITEBACK_SIZE1_REG
0x48668100 DPC_XVDO_BUF_EVEN_RAM_START_REG
0x4866817F DPC_XVDO_BUF_EVEN_RAM_END_REG
0x48668180 DPC_XVDO_BUF_ODD_RAM_START_REG
0x486681FF DPC_XVDO_BUF_ODD_RAM_END_REG
0x48669000 DPC_XVDO_V_EVEN_RAM_START_REG
0x4866959C DPC_XVDO_V_EVEN_RAM_END_REG
0x48669800 DPC_XVDO_V_ODD_RAM_START_REG
0x48669D9C DPC_XVDO_V_ODD_RAM_END_REG
0x4866FFFC DPC_END
0x48678000 MCU_IRAM
0x4867C000 MCU_DRAM
0x4867C000 MCU_RAM_SLICE_VERTICAL_POSITION
0x4867C004 MCU_RAM_MBAINC
0x4867C008 MCU_RAM_MOTION_TYPE
0x4867C00C MCU_RAM_MVECTOR
0x4867C010 MCU_RAM_DELTA_000
0x4867C014 MCU_RAM_DELTA_001
0x4867C018 MCU_RAM_DELTA_010
0x4867C01C MCU_RAM_DELTA_011
0x4867C020 MCU_RAM_DELTA_100
0x4867C024 MCU_RAM_DELTA_101
0x4867C028 MCU_RAM_DELTA_110
0x4867C02C MCU_RAM_DELTA_111
0x4867C1F0 MCU_RAM_MIN_BLOCK_DELAY
0x4867C1F4 MCU_RAM_VLD_ERROR_COUNT
0x4867C1F8 MCU_RAM_ERR_START_CODE_COUNT
0x4867C224 MCU_RAM_NEXT_MIN_BLOCK_DELAY
0x4867C230 MCU_RAM_MAX_SLICE_VERT_POS
0x4867C234 MCU_RAM_GOOD_MB_COUNT
0x4867C238 MCU_RAM_IENG_STALL_ENABLE
0x4867C23C MCU_RAM_IENG_STALL_COUNT
0x4867C294 MCU_RAM_MCU_ERROR_CODE
0x4867C298 MCU_RAM_TEMP2
0x4867C29C MCU_RAM_TEMP3
0x4867C2C0 MCU_RAM_PICTURE_CODING_STRUCTURE
0x4867C2C4 MCU_RAM_PICTURE_FIELD
0x4867C2C8 MCU_RAM_MV_FRAME
0x4867C2CC MCU_RAM_MB_WIDTH
0x4867C2D0 MCU_RAM_MBAMAX
0x4867C2D4 MCU_RAM_RANGE_00
0x4867C2D8 MCU_RAM_RANGE_01
0x4867C2DC MCU_RAM_RANGE_10
0x4867C2E0 MCU_RAM_RANGE_11
0x4867C2E4 MCU_RAM_FBUF_BASE_FWD
0x4867C2E8 MCU_RAM_FBUF_BASE_BWD
0x4867C2EC MCU_RAM_FBUF_BASE_DST
0x4867C2F0 MCU_RAM_PICTURE_START
0x4867C2F4 MCU_RAM_HOST_INT_EN
0x4867C2F8 MCU_RAM_VPIP_INT_EN
0x4867C2FC MCU_RAM_CHROMA_MPEG_FORMAT
0x4867C300 MCU_RAM_FULL_PEL
0x4867C304 MCU_RAM_HOST_INT_STATUS
0x4867C30C MCU_RAM_CHECK_IENG_ERR
0x4867C310 MCU_RAM_LAST_SLICE2
0x4867C31C MCU_RAM_LAST_MCE_CH_RADDRH2
0x4867C320 MCU_RAM_LAST_MCE_CH_RADDRL2
0x4867C330 MCU_RAM_VPIP1_LO
0x4867D000 MCU_RF0
0x4867D004 MCU_RF1
0x4867D008 MCU_RF2
0x4867D00C MCU_RF3
0x4867D010 MCU_RF4
0x4867D014 MCU_RF5
0x4867D018 MCU_RF6
0x4867D01C MCU_RF7
0x4867D020 MCU_RF8
0x4867D024 MCU_RF9
0x4867D028 MCU_RF10
0x4867D02C MCU_RF11
0x4867D030 MCU_RF12
0x4867D034 MCU_RF13
0x4867D038 MCU_RF14
0x4867D03C MCU_RF15
0x4867D800 MCU_HALT_REG
0x4867D804 MCU_PC
0x4867D808 MCU_COND_CODE
0x4867D80C MCU_SPL_REG
0x4867D810 MCU_INTR_REG
0x48680000 FE_RESP0_REG
0x48680004 FE_RESP1_REG
0x48680008 FE_RESP2_REG
0x4868000C FE_RESP3_REG
0x48680010 FE_RESP4_REG
0x48680014 FE_RESP5_REG
0x48680018 FE_RESP6_REG
0x4868001C FE_RESP7_REG
0x48680020 FE_RESP8_REG
0x48680024 FE_RESP9_REG
0x48680028 FE_RESP10_REG
0x4868002C FE_RESP11_REG
0x48680030 FE_RESP12_REG
0x48680034 FE_RESP13_REG
0x48680038 FE_RESP14_REG
0x4868003C FE_RESP15_REG
0x48680040 FE_RESP16_REG
0x48680044 FE_RESP17_REG
0x48680048 FE_RESP18_REG
0x4868004C FE_RESP19_REG
0x48680050 FE_RESP20_REG
0x48680054 FE_RESP21_REG
0x48680058 FE_RESP22_REG
0x4868005C FE_RESP23_REG
0x48680060 FE_RESP24_REG
0x48680064 FE_RESP25_REG
0x48680068 FE_RESP26_REG
0x4868006C FE_RESP27_REG
0x48680070 FE_RESP28_REG
0x48680074 FE_RESP29_REG
0x48680078 FE_RESP30_REG
0x4868007C FE_RESP31_REG
0x48680080 FE_REQ0_REG
0x48680084 FE_REQ1_REG
0x48680088 FE_REQ2_REG
0x4868008C FE_REQ3_REG
0x48680090 FE_REQ4_REG
0x48680094 FE_REQ5_REG
0x48680098 FE_REQ6_REG
0x4868009C FE_REQ7_REG
0x486800A0 FE_REQ8_REG
0x486800A4 FE_REQ9_REG
0x486800A8 FE_REQ10_REG
0x486800AC FE_REQ11_REG
0x486800B0 FE_REQ12_REG
0x486800B4 FE_REQ13_REG
0x486800B8 FE_REQ14_REG
0x486800BC FE_REQ15_REG
0x486800C0 FE_CHANNEL_REG
0x486800C4 FE_CODE_COUNT_REG
0x486800C8 FE_DATA_COUNT_REG
0x486800CC FE_BOOT_STATUS_REG
0x486800D0 FE_CHKS_VAL_REG
0x486800D4 FE_CHKS_STAT_REG
0x486800D8 FE_BOOT_CTL_REG
0x486800DC FE_BOOT_PORT_REG
0x486800E0 FE_BOOT_MAC_REG
0x486800E4 FE_IRQ_STATUS_REG
0x486800E8 FE_IRQ_MONITOR_REG
0x486800EC FE_DSP_PC_REG
0x486800F0 FE_DSP_BRANCH_PC_REG
0x486800F4 FE_CRAMBIST_CTL_REG
0x486800F8 FE_RAMBIST_STATUS_REG
0x486800FC FE_WJINT_TRIG_REG
0x48681000 CVE3_INTR_GLOBAL_EN_REG
0x48681004 CVE3_INTR_EN_REG
0x48681010 CVE3_INTR_STAT_RAW_REG
0x48681014 CVE3_INTR_STAT_REG
0x48681018 CVE3_INTR_STAT_ALIAS_REG
0x4868101C CVE3_IO_CONFIG_REG
0x48681020 CVE3_RES_CONTROL_REG
0x48681024 CVE3_RES_CLIP0_REG
0x48681028 CVE3_RES_CLIP1_REG
0x4868102C CVE3_RES_CLIP2_REG
0x48681030 CVE3_CSC_COEF00_01_REG
0x48681034 CVE3_CSC_COEF02_REG
0x48681038 CVE3_CSC_MAX0_MIN0_REG
0x4868103C CVE3_CSC_BIAS0_REG
0x48681040 CVE3_CSC_COEF10_11_REG
0x48681044 CVE3_CSC_COEF12_REG
0x48681048 CVE3_CSC_MAX1_MIN1_REG
0x4868104C CVE3_CSC_BIAS1_REG
0x48681050 CVE3_CSC_COEF20_21_REG
0x48681054 CVE3_CSC_COEF22_REG
0x48681058 CVE3_CSC_MAX2_MIN2_REG
0x4868105C CVE3_CSC_BIAS2_REG
0x48681400 CVE3_CORE_CHROMA_FREQ_3
0x48681404 CVE3_CORE_CHROMA_FREQ_2
0x48681408 CVE3_CORE_CHROMA_FREQ_1
0x4868140C CVE3_CORE_CHROMA_FREQ_0
0x48681410 CVE3_CORE_CHROMA_PHASE
0x48681414 CVE3_CORE_CONFIG0
0x48681418 CVE3_CORE_CONFIG1
0x4868141C CVE3_CORE_CONFIG2
0x48681420 CVE3_CORE_HSYNC_WIDTH
0x48681424 CVE3_CORE_BURST_WIDTH
0x48681428 CVE3_CORE_BACK_PORCH
0x4868142C CVE3_CORE_CB_BURST_LEVEL
0x48681430 CVE3_CORE_CR_BURST_LEVEL
0x48681434 CVE3_CORE_SLAVE_CONFIG
0x48681438 CVE3_CORE_BLACK_LEVEL_HI
0x4868143C CVE3_CORE_BLACK_LEVEL_LO
0x48681440 CVE3_CORE_BLANK_LEVEL_HI
0x48681444 CVE3_CORE_BLANK_LEVEL_LO
0x48681448 CVE3_MV_N1
0x4868144C CVE3_MV_N3
0x48681450 CVE3_MV_N8
0x48681454 CVE3_MV_N9
0x48681458 CVE3_MV_N10
0x4868145C CVE3_CORE_NUM_LINES_HI
0x48681460 CVE3_CORE_NUM_LINES_LO
0x48681464 CVE3_MV_N0
0x48681468 CVE3_MV_N13
0x4868146C CVE3_MV_N14
0x48681470 CVE3_MV_N15
0x48681474 CVE3_MV_N5
0x48681478 CVE3_CORE_WHITE_LEVEL_HI
0x4868147C CVE3_CORE_WHITE_LEVEL_LO
0x48681480 CVE3_CORE_CB_GAIN
0x48681484 CVE3_MV_N20
0x48681488 CVE3_CORE_CR_GAIN
0x4868148C CVE3_MV_N16
0x48681490 CVE3_MV_N7
0x48681494 CVE3_CORE_TINT
0x48681498 CVE3_MV_N17
0x4868149C CVE3_MV_N19
0x486814A0 CVE3_MV_N18
0x486814A4 CVE3_CORE_BREEZE_WAY
0x486814A8 CVE3_MV_N21_HI
0x486814AC CVE3_MV_N21_LO
0x486814B0 CVE3_CORE_FRONT_PORCH
0x486814B4 CVE3_MV_N11_HI
0x486814B8 CVE3_MV_N11_LO
0x486814BC CVE3_MV_N12_HI
0x486814C0 CVE3_MV_N12_LO
0x486814C4 CVE3_CORE_ACTIVELINE_HI
0x486814C8 CVE3_CORE_ACTIVELINE_LO
0x486814CC CVE3_CORE_FIRSTVIDEOLINE
0x486814D0 CVE3_CORE_MODE
0x486814D4 CVE3_CORE_SYNC_LEVEL
0x486814D8 CVE3_MV_N22
0x486814DC CVE3_MV_AGC_PULSE_LEVEL
0x486814E0 CVE3_MV_BP_PULSE_LEVEL
0x486814E4 CVE3_MV_N4
0x486814E8 CVE3_MV_N6
0x486814EC CVE3_MV_N2
0x486814F0 CVE3_CORE_VBI_BLANK_LEVEL_HI
0x486814F4 CVE3_CORE_VBI_BLANK_LEVEL_LO
0x486814F8 CVE3_CORE_SOFT_RESET
0x486814FC CVE3_CORE_PRODUCT_VERSION
0x48681500 CVE3_CORE_WSS_CONFIG
0x48681504 CVE3_CORE_WSS_CLOCK_HI
0x48681508 CVE3_CORE_WSS_CLOCK_LO
0x4868150C CVE3_CORE_WSS_DATAF1_HI
0x48681510 CVE3_CORE_WSS_DATAF1_MI
0x48681514 CVE3_CORE_WSS_DATAF1_LO
0x48681518 CVE3_CORE_WSS_DATAF0_HI
0x4868151C CVE3_CORE_WSS_DATAF0_MI
0x48681520 CVE3_CORE_WSS_DATAF0_LO
0x48681524 CVE3_CORE_WSS_LINEF1
0x48681528 CVE3_CORE_WSS_LINEF0
0x4868152C CVE3_CORE_WSS_LEVEL_HI
0x48681530 CVE3_CORE_WSS_LEVEL_LO
0x48681534 CVE3_CORE_NOTCH
0x48681538 CVE3_CORE_MV_OLD
0x48681540 CVE3_CORE_CHROMA2_FREQ3
0x48681544 CVE3_CORE_CHROMA2_FREQ2
0x48681548 CVE3_CORE_CHROMA2_FREQ1
0x4868154C CVE3_CORE_CHROMA2_FREQ0
0x48681584 CVE3_CORE_CC_LEVEL
0x48681588 CVE3_CORE_CC_CLOCK
0x4868158C CVE3_CORE_CC_LINEF0
0x48681590 CVE3_CORE_CC_LINEF1
0x48681594 CVE3_CORE_CC_CONFIG
0x48681598 CVE3_CORE_CC_STATUS
0x4868159C CVE3_CORE_CC_DATA0F0
0x486815A0 CVE3_CORE_CC_DATA1F0
0x486815A4 CVE3_CORE_CC_DATA0F1
0x486815A8 CVE3_CORE_CC_DATA1F1
0x48681800 CVE3_RES_START_PHASEACCUM_REG
0x48681804 CVE3_RES_PHASEINCR_REG
0x48681810 CVE3_RES_RW_ERR_CNT_REG
0x48681814 CVE3_RES_RW_CNT_REG
0x48681820 CVE3_RES_CHKSUM_CNT_REG
0x48681824 CVE3_RES_CHKSUM_RESULT_REG
0x48682000 MIF_DDR0_SIZE_REG
0x48682004 MIF_DDR1_SIZE
0x48682008 MIF_DDR0_TIMING_REG
0x48682010 MIF_MODE_REG
0x48682014 MIF_EXTENDED_MODE_REG
0x48682018 MIF_DEBUG
0x4868201C MIF_DDR_DLY0
0x48682020 MIF_DDR_DLY1
0x48682024 MIF_DDR_DLY2
0x48682028 MIF_DDR_DLY3
0x4868203C MIF_PERF_CONFIG
0x48682040 MIF_PERF0
0x48682044 MIF_PERF1
0x48682048 MIF_PERF2
0x4868204C MIF_PERF3
0x48682050 MIF_BVCI_EPC_AGE
0x48682054 MIF_BVCI_EPC_RATE_CNTRL
0x48682100 MIF_FLD_BUF_0_REG
0x48682104 MIF_FLD_BUF_1_REG
0x48682108 MIF_FLD_BUF_2_REG
0x4868210C MIF_FLD_BUF_3_REG
0x48682110 MIF_FLD_BUF_4_REG
0x48682114 MIF_FLD_BUF_5_REG
0x48682118 MIF_FLD_BUF_6_REG
0x4868211C MIF_FLD_BUF_7_REG
0x48682120 MIF_FLD_BUF_8_REG
0x48682124 MIF_FLD_BUF_9_REG
0x48682128 MIF_FLD_BUF_10_REG
0x4868212C MIF_FLD_BUF_11_REG
0x48682130 MIF_FLD_BUF_12_REG
0x48682134 MIF_FLD_BUF_13_REG
0x48682138 MIF_FLD_BUF_14_REG
0x4868213C MIF_FLD_BUF_15_REG
0x48682140 MIF_FLD_BUF_16_REG
0x48682144 MIF_FLD_BUF_17_REG
0x48682148 MIF_FLD_BUF_18_REG
0x4868214C MIF_FLD_BUF_19_REG
0x48682150 MIF_FLD_BUF_20_REG
0x48682154 MIF_FLD_BUF_21_REG
0x48682158 MIF_FLD_BUF_22_REG
0x4868215C MIF_FLD_BUF_23_REG
0x48682160 MIF_FLD_BUF_24_REG
0x48682164 MIF_FLD_BUF_25_REG
0x48682168 MIF_FLD_BUF_26_REG
0x4868216C MIF_FLD_BUF_27_REG
0x48682170 MIF_FLD_BUF_28_REG
0x48682174 MIF_FLD_BUF_29_REG
0x48682178 MIF_FLD_BUF_30_REG
0x4868217C MIF_FLD_BUF_31_REG
0x48682200 MIF_STATUS_BLT0_RD
0x48682204 MIF_STATUS_BLT1_RD
0x48682208 MIF_STATUS_BLT_WR
0x4868220C MIF_STATUS_DPC_VDO_LUMA
0x48682210 MIF_STATUS_DPC_VDO_CHROMA
0x48682214 MIF_STATUS_DPC_DPL
0x48682218 MIF_STATUS_DPC_SYNC
0x4868221C MIF_STATUS_DPC_GFX
0x48682220 MIF_STATUS_DPC_VDO_RD
0x48682224 MIF_STATUS_DPC_VDO_WR
0x48682228 MIF_STATUS_MCE_TIF
0x4868222C MIF_STATUS_MCE_CIF_RD
0x48682230 MIF_STATUS_MCE_CIF_WR
0x48682234 MIF_STATUS_TRP_TSD
0x48682240 MIF_STATUS_HDC_LUMA
0x48682244 MIF_STATUS_HDC_CHRM
0x48682300 MIF_MS_BLT_DEADLINE
0x48682304 MIF_MS_DPC0_DEADLINE
0x48682308 MIF_MS_DPC1_DEADLINE
0x4868230C MIF_MS_MCE_DEADLINE
0x48682310 MIF_MS_TRP_DEADLINE
0x48682318 MIF_MS_HDC_DEADLINE
0x48682400 MIF_MS_CONFIG
0x48682404 MIF_MS_REF_DEADLINE
0x48682408 MIF_CRC_SIGN_CFG
0x4868240C MIF_CRC_SIGN_A0_L
0x48682410 MIF_CRC_SIGN_A0_H
0x48682414 MIF_CRC_SIGN_B0_L
0x48682418 MIF_CRC_SIGN_B0_H
0x4868241C MIF_CRC_SIGN_B1_L
0x48682420 MIF_CRC_SIGN_B1_H
0x48682424 MIF_CRC_SIGN_C01_L
0x48682428 MIF_CRC_SIGN_C01_H
0x4868242C MIF_CRC_SIGN_C02_L
0x48682430 MIF_CRC_SIGN_C02_H
0x48682434 MIF_CRC_SIGN_C03_L
0x48682438 MIF_CRC_SIGN_C03_H
0x4868243C MIF_BVCI_CRC_SIGN_CFG
0x48682440 MIF_CRC_SIGN_BVCI_RD_L
0x48682444 MIF_CRC_SIGN_BVCI_RD_H
0x48682448 MIF_CRC_SIGN_BVCI_WR_L
0x4868244C MIF_CRC_SIGN_BVCI_WR_H
0x48684000 BM2M_SRC_ADDR
0x48684004 BM2M_DST_ADDR
0x48684008 BM2M_BYTE_COUNT
0x4868400C BM2M_ENDIAN
0x48684010 BM2M_INTERRUPT
0x48684014 BM2M_INT_EN
0x48684018 BM2M_INTERRUPT_STATUS_ALIAS
0x4868401C BM2M_INTERRUPT_STATUS
0x48685000 BVCI_BUSES
0x48685004 BVCI_BUSEAD
0x48685008 BVCI_BUSEAT
0x48685010 BVCI_BUSDS
0x48685014 BVCI_BUSCSL
0x48685020 BVCI_BUSDA
0x48685024 BVCI_BUSDM
0x48685038 BVCI_BUSSSL
0x48685040 BVCI_BUSDBGBM2M_INIT
0x48685044 BVCI_BUSDBGHDMI_INIT
0x48685048 BVCI_BUSDBGIEEE1394_INIT
0x4868504C BVCI_BUSDBGLLU_INIT
0x48685050 BVCI_BUSDBGAPU_INIT
0x48685054 BVCI_BUSDBGCVD2_INIT
0x48685058 BVCI_BUSDBGMIF_TARGET
0x48685080 BVCI_BUSAGEMSK
0x48685084 BVCI_BUSPRIOBM2M_INIT
0x48685088 BVCI_BUSPRIOHDMI_INIT
0x4868508C BVCI_BUSPRIOIEEE1394_INIT
0x48685090 BVCI_BUSPRIOLLU_INIT
0x48685094 BVCI_BUSPRIOAPU_INIT
0x48685098 BVCI_BUSPRIOCVD2_INIT
0x48687000 CVD2_CVD1_CONTROL0
0x48687004 CVD2_CVD1_CONTROL1
0x48687008 CVD2_CVD1_CONTROL2
0x4868700C CVD2_YC_SEPARATION_CONTROL
0x48687010 CVD2_LUMA_AGC_VALUE
0x48687014 CVD2_NOISE_THRESHOLD
0x48687018 CVD2_AGC_GATE_THRESHOL_ADC_SWAP
0x4868701C CVD2_OUTPUT_CONTROL
0x48687020 CVD2_LUMA_CONTRAST_ADJUSTMENT
0x48687024 CVD2_LUMA_BRIGHTNESS_ADJUSTMENT
0x48687028 CVD2_CHROMA_SATURATION_ADJUSTMENT
0x4868702C CVD2_CHROMA_HUE_PHASE_ADJUSTMENT
0x48687030 CVD2_CHROMA_AGC
0x48687034 CVD2_CHROMA_KILL0
0x48687038 CVD2_CHROMA_KILL1
0x4868703C CVD2_MISC_CONTROLS
0x48687040 CVD2_AGC_PEAK_NOMINAL
0x48687044 CVD2_AGC_PEAK_AND_GATE_CONTROLS
0x48687048 BLUE_SCREEN_Y
0x4868704C BLUE_SCREEN_CB
0x48687050 BLUE_SCREEN_CR
0x48687054 HDETECT_CLAMP_LEVEL
0x48687058 CVD2_LOCK_COUNT
0x4868705C CVD2_H_LOOP_MAXSTATE
0x48687060 CVD2_CHROMA_DTO_INCREMENT_0
0x48687064 CVD2_CHROMA_DTO_INCREMENT_1
0x48687068 CVD2_CHROMA_DTO_INCREMENT_2
0x4868706C CVD2_CHROMA_DTO_INCREMENT_3
0x48687070 CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_0
0x48687074 CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_1
0x48687078 CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_2
0x4868707C CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_3
0x48687080 CVD2_HORIZONTAL_SYNC_RISING_EDGE_OCCURRENCE_TIME
0x48687084 CVD2_HORIZONTAL_SYNC_PHASE_OFFSET
0x48687088 CVD2_HORIZONTAL_SYNC_DETECT_WINDOW_START_TIME
0x4868708C CVD2_HORIZONTAL_SYNC_DETECT_WINDOW_END_TIME
0x48687090 CVD2_CLAMPAGC_CONTROL
0x48687094 CVD2_HORIZONTAL_SYNC_WIDTH_STATUS
0x48687098 CVD2_HORIZONTAL_SYNC_RISING_EDGE_DETECT_WINDOW_START_TIME
0x4868709C CVD2_HORIZONTAL_SYNC_RISING_EDGE_DETECT_WINDOW_END_TIME
0x486870A0 CVD2_DRSECAM
0x486870A4 CVD2_DB_FREQ
0x486870A8 CVD2_HSYNC_FILTER_GATE_START_TIME
0x486870AC CVD2_HSYNC_FILTER_GATE_END_TIME
0x486870B0 CVD2_CHROMA_BURST_GATE_START_TIME
0x486870B4 CVD2_CHROMA_BURST_GATE_END_TIME
0x486870B8 CVD2_ACTIVE_VIDEO_HORIZONTAL_START_TIME
0x486870BC CVD2_ACTIVE_VIDEO_HORIZONTAL_WIDTH
0x486870C0 CVD2_ACTIVE_VIDEO_VERTICAL_START
0x486870C4 CVD2_ACTIVE_VIDEO_VERTICAL_HEIGHT
0x486870C8 CVD2_VSYNC_H_LOCKOUT_START
0x486870CC CVD2_VSYNC_H_LOCKOUT_END
0x486870D0 CVD2_VSYNC_AGC_LOCKOUT_START
0x486870D4 CVD2_VSYNC_AGC_LOCKOUT_END
0x486870D8 CVD2_VSYNC_VBI_LOCKOUT_START
0x486870DC CVD2_VSYNC_VBI_LOCKOUT_END
0x486870E0 CVD2_VSYNC_CNTL
0x486870E4 CVD2_VSYNC_TIME_CONSTANT
0x486870E8 CVD2_CVD1_STATUS_REGISTER_1
0x486870EC CVD2_CVD1_STATUS_REGISTER_2
0x486870F0 CVD2_CVD1_STATUS_REGISTER_3
0x486870F4 CVD2_CVD1_DEBUG_ANALOG
0x486870F8 CVD2_CVD1_DEBUG_DIGITAL
0x486870FC CVD2_CVD1_RESET_REGISTER
0x48687100 CVD2_CVD1_TELETEXT_VBI_FRAME_CODE_REGISTER0
0x48687104 CVD2_CVD1_TELETEXT_VBI_FRAME_CODE_REGISTER1
0x48687108 CVD2_CVD1_DATA_HIGH_LEVEL_REGISTER
0x4868710C CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE7
0x48687110 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE8
0x48687114 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE9
0x48687118 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE10
0x4868711C CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE11
0x48687120 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE12
0x48687124 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE13
0x48687128 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE14
0x4868712C CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE15
0x48687130 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE16
0x48687134 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE17
0x48687138 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE18
0x4868713C CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE19
0x48687140 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE20
0x48687144 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE21
0x48687148 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE22
0x4868714C CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE23
0x48687150 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_REMAINING_LINES0
0x48687154 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_REMAINING_LINES1
0x48687158 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_REMAINING_LINES2
0x4868715C CVD2_CVD1_VBI_LOOP_FILTER_1_GAIN_REGISTER0
0x48687160 CVD2_CVD1_VBI_LOOP_FILTER_1_GAIN_REGISTER1
0x48687164 CVD2_UPPER_BYTE_CVD1_VBI_CLOSE_CAPTION_DTO_REGISTER
0x48687168 CVD2_LOWER_BYTE_CVD1_VBI_CLOSE_CAPTION_DTO_REGISTER
0x4868716C CVD2_UPPER_BYTE_CVD1_VBI_TELETEXT_DTO_REGISTER
0x48687170 CVD2_LOWER_BYTE_CVD1_VBI_TELETEXT_DTO_REGISTER
0x48687174 CVD2_UPPER_BYTE_CVD1_VBI_WSS625WSSJ_DTO_REGISTER
0x48687178 CVD2_LOWER_BYTE_CVD1_VBI_WSS625WSSJ_DTO_REGISTER
0x4868717C CVD2_CVD1_VBI_CLOSE_CAPTION_DATA1_REGISTER0
0x48687180 CVD2_CVD1_VBI_CLOSE_CAPTION_DATA1_REGISTER1
0x48687184 CVD2_CVD1_VBI_CLOSE_CAPTION_DATA1_REGISTER2
0x48687188 CVD2_CVD1_VBI_CLOSE_CAPTION_DATA1_REGISTER3
0x4868718C CVD2_CVD1_VBI_CLOSE_CAPTION_DATA2_REGISTER3
0x48687190 CVD2_CVD1_VBI_CLOSE_CAPTION_DATA1_REGISTER4
0x48687194 CVD2_CVD1_VBI_DATA_STATUS_REGISTER
0x48687198 CVD2_CVD1_VBI_CAPTION_START_REGISTER
0x4868719C CVD2_CVD1_VBI_WSS625WSSJ_START_REGISTER
0x486871A0 CVD2_CVD1_VBI_TELETEXT_START_REGISTER
0x486871A8 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE6
