ZMon>rlkup *
0x48652C14 DPC_HWG_CFG2_SHAD_REG
0x48652C18 DPC_HWG_CFG3_CURR_REG
0x48652C1C DPC_HWG_CFG3_SHAD_REG
0x48652C20 DPC_HWG_CFG4_CURR_REG
0x48652C24 DPC_HWG_CFG4_SHAD_REG
0x48652C28 DPC_HWG_CFG5_CURR_REG
0x48652C2C DPC_HWG_CFG5_SHAD_REG
0x48652C30 DPC_HWG_CFG6_CURR_REG
0x48652C34 DPC_HWG_CFG6_SHAD_REG
0x48652C38 DPC_HWG_CFG7_CURR_REG
0x48652C3C DPC_HWG_CFG7_SHAD_REG
0x48652C40 DPC_HWG_CFG8_CURR_REG
0x48652C44 DPC_HWG_CFG8_SHAD_REG
0x48652C48 DPC_HWG_CFG9_CURR_REG
0x48652C4C DPC_HWG_CFG9_SHAD_REG
0x48652C50 DPC_HWG_CFG10_CURR_REG
0x48652C54 DPC_HWG_CFG10_SHAD_REG
0x48652C58 DPC_HWG_CFG11_CURR_REG
0x48652C5C DPC_HWG_CFG11_SHAD_REG
0x48652C60 DPC_HWG_CFG12_CURR_REG
0x48652C64 DPC_HWG_CFG12_SHAD_REG
0x48652C68 DPC_HWG_CFG13_CURR_REG
0x48652C6C DPC_HWG_CFG13_SHAD_REG
0x48652C70 DPC_HWG_CFG14_CURR_REG
0x48652C74 DPC_HWG_CFG14_SHAD_REG
0x48652C78 DPC_HWG_COUNTIN_CURR_REG
0x48652C7C DPC_HWG_COUNTIN_SHAD_REG
0x48652C80 DPC_HWG_CFG0_CURR_REG
0x48652C84 DPC_HWG_CFG0_SHAD_REG
0x48653000 DPC_VDR_BASE
0x48653000 DPC_VDR_BUF_RD_CNT_CURR_REG
0x48653004 DPC_VDR_BUF_RD_CNT_SHAD_REG
0x48653100 DPC_VDR_BUF_WR_CNT_CURR_REG
0x48653104 DPC_VDR_BUF_WR_CNT_SHAD_REG
0x48653108 DPC_VDR_START_ADDR0_CURR_REG
0x4865310C DPC_VDR_START_ADDR0_SHAD_REG
0x48653110 DPC_VDR_START_ADDR1_CURR_REG
0x48653114 DPC_VDR_START_ADDR1_SHAD_REG
0x48653118 DPC_VDR_SIZE0_CURR_REG
0x4865311C DPC_VDR_SIZE0_SHAD_REG
0x48653120 DPC_VDR_SIZE1_CURR_REG
0x48653124 DPC_VDR_SIZE1_SHAD_REG
0x48653200 DPC_VDR_FIFO_PIXEL0_REG
0x486533FC DPC_VDR_FIFO_PIXEL63_REG
0x48654000 DPC_RES_BASE
0x48654000 DPC_RES_PHASE_START_REG
0x48654004 DPC_RES_PHASE_INCR_REG
0x48654010 DPC_RES_RD_ERR_CNT_REG
0x48654014 DPC_RES_WR_ERR_CNT_REG
0x48655000 DPC_DGO_BASE
0x48655000 DPC_DGO_BUF_PTR_REG
0x48655004 DPC_DGO_WATERMARK_LEV_REG
0x48656000 DPC_DLIST_BASE
0x48656000 DPC_DLIST_BASE_ADDR_CURR_REG
0x48656004 DPC_DLIST_BASE_ADDR0_SHAD_REG
0x48656008 DPC_DLIST_BASE_ADDR1_SHAD_REG
0x4865600C DPC_DLIST_ENTRIES_CURR_REG
0x48656010 DPC_DLIST_ENTRIES_SHAD_REG
0x48656020 DPC_DLIST_CMD_BUFFER_SELECT_REG
0x48656108 DPC_DEF_VAL_CURR_REG
0x4865610C DPC_DEF_VAL_SHAD_REG
0x48656200 DPC_MASTER_CNT_CURR_REG
0x48656204 DPC_MASTER_CNT_SHAD_REG
0x48656300 DPC_PFETCH_BUFFER_START_ADDR
0x4865637C DPC_PFETCH_BUFFER_END_ADDR
0x48656400 DPC_DATAQ_BUFFER_START_ADDR
0x4865641C DPC_DATAQ_BUFFER_END_ADDR
0x48656500 DPC_CMDQ_BUFFER_START_ADDR
0x4865650C DPC_CMDQ_BUFFER_END_ADDR
0x48656600 DPC_CMD_BUFFER_START_ADDR
0x486569FC DPC_CMD_BUFFER_END_ADDR
0x48656A00 DPC_CMD_BC_BUFFER_START_ADDR
0x48656BFC DPC_CMD_BC_BUFFER_END_ADDR
0x48656C00 DPC_CMD_AC_BUFFER_START_ADDR
0x48656FFC DPC_CMD_AC_BUFFER_END_ADDR
0x48657000 DPC_SYNC_BASE
0x48657000 DPC_SYNC_BUF_RD_CNT_CURR_REG
0x48657004 DPC_SYNC_BUF_RD_CNT_SHAD_REG
0x48657100 DPC_SYNC_BUF_WR_CNT_CURR_REG
0x48657104 DPC_SYNC_BUF_WR_CNT_SHAD_REG
0x48657108 DPC_SYNC_START_ADDR0_CURR_REG
0x4865710C DPC_SYNC_START_ADDR0_SHAD_REG
0x48657110 DPC_SYNC_START_ADDR1_CURR_REG
0x48657114 DPC_SYNC_START_ADDR1_SHAD_REG
0x48657118 DPC_SYNC_SIZE0_CURR_REG
0x4865711C DPC_SYNC_SIZE0_SHAD_REG
0x48657120 DPC_SYNC_SIZE1_CURR_REG
0x48657124 DPC_SYNC_SIZE1_SHAD_REG
0x48657200 DPC_SYNC_FIFO_PIXEL0_REG
0x486573FC DPC_SYNC_FIFO_PIXEL127_REG
0x48658000 DPC_VS_BASE
0x48658000 DPC_VS_CFG_REG
0x48658004 DPC_VS_WRITEBACK_CFG_REG
0x48658008 DPC_VS_LUM_WRITEBACK_DST01_REG
0x4865800C DPC_VS_LUM_WRITEBACK_SIZE0_REG
0x48658010 DPC_VS_LUM_WRITEBACK_SIZE1_REG
0x48658014 DPC_VS_CHM_WRITEBACK_DST01_REG
0x48658018 DPC_VS_CHM_WRITEBACK_SIZE0_REG
0x4865801C DPC_VS_CHM_WRITEBACK_SIZE1_REG
0x48658100 DPC_VS_LUM_RD_CFG_REG
0x48658104 DPC_VS_LUM_RD_SRC0_REG
0x48658108 DPC_VS_LUM_RD_SRC1_REG
0x4865810C DPC_VS_LUM_RD_SIZE0_REG
0x48658110 DPC_VS_LUM_RD_SIZE1_REG
0x48658114 DPC_VS_LUM_RD_FIR_CFG_REG
0x48658118 DPC_VS_LUM_H_INT_START_REG
0x4865811C DPC_VS_LUM_H_SCALE_PAR_REG
0x48658120 DPC_VS_LUM_H_DDA_PAR_REG
0x48658124 DPC_VS_LUM_H_DDA_START_REG
0x48658128 DPC_VS_LUM_H_FIR_COEF_01_REG
0x4865812C DPC_VS_LUM_H_FIR_COEF_23_REG
0x48658130 DPC_VS_LUM_H_FIR_COEF_4_REG
0x48658134 DPC_VS_LUM_V_INT_CONTROL_REG
0x48658138 DPC_VS_LUM_V_INT_START_REG
0x4865813C DPC_VS_LUM_V_SCALE_PAR_REG
0x48658140 DPC_VS_LUM_V_DDA_PAR_REG
0x48658144 DPC_VS_LUM_V_DDA_START_REG
0x48658148 DPC_VS_LUM_WGS_CFG1_REG
0x4865814C DPC_VS_LUM_WGS_CFG2_REG
0x48658150 DPC_VS_LUM_WGS_CFG3_REG
0x48658200 DPC_VS_CHM_RD_CFG_REG
0x48658204 DPC_VS_CHM_RD_SRC0_REG
0x48658208 DPC_VS_CHM_RD_SRC1_REG
0x4865820C DPC_VS_CHM_RD_SIZE0_REG
