ZMon>3view
Index Name              Current Default Minimum Maximum Type defUserMin defUserMax userDef userMin userMax
 125  RG_URANGE_NTSC      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 126  RG_FRANGE_NTSC      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 127  RG_DEFCUR_NTSC    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 128  GG_URANGE_NTSC      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 129  GG_FRANGE_NTSC      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 130  GG_DEFCUR_NTSC    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 131  BG_URANGE_NTSC      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 132  BG_FRANGE_NTSC      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 133  BG_DEFCUR_NTSC    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 134  TEMP_COOL_NTSC       4950    4950       0   10000 User          0      10000    4950       0   10000
 135  TEMP_WARM_NTSC       4483    4483       0   10000 User          0      10000    4483       0   10000
 136  TEMP_NORM_NTSC       4779    4779       0   10000 User          0      10000    4779       0   10000
 137  Contrast_CVBS          67      67       0     100 User          0        100      67       0     100
 138  Brightness_CVBS        43      43       0     100 User          0        100      43       0     100
 139  Color_CVBS             56      56       0     100 User          0        100      56       0     100
 140  Tint_CVBS              50      50       0     100 User          0        100      50       0     100
 141  Sharpness_CVBS         60      60       0     100 User          0        100      60       0     100
 142  ColorTemp_CVBS          1       1       0       2 User          0          2       1       0       2
 143  Spatial_CVBS            1       1       0       1 User          0          1       1       0       1
 144  Speckle_CVBS            1       1       0       1 User          0          1       1       0       1
 145  Temporal_CVBS           1       1       0       1 User          0          1       1       0       1
 146  Sharp_CVBS_1           50      50       0   65535 User          0      65535      50       0   65535
 147  Sharp_CVBS_2           50      50       0   65535 User          0      65535      50       0   65535
 148  Sharp_CVBS_3           50      50       0   65535 User          0      65535      50       0   65535
 149  Sharp_CVBS_4           50      50       0   65535 User          0      65535      50       0   65535
 150  EEParam_CVBS_1    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 151  EEParam_CVBS_2    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 152  EEParam_CVBS_3    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 153  EEParam_CVBS_4    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 154  Coeff1_CVBS_1         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 155  Coeff1_CVBS_2         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 156  Coeff1_CVBS_3         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 157  Coeff1_CVBS_4         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 158  Coeff2_CVBS_1         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 159  Coeff2_CVBS_2         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 160  Coeff2_CVBS_3         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 161  Coeff2_CVBS_4         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 162  NR_CVBS            607300  607300       0 2147483647 User          0 2147483647  607300       0 2147483647
 163  CVD2_CVBS         13407002 13407002 -2147483648 2147483647 User -2147483648 2147483647 13407002 -2147483648 2147483647
 164  CVD21_CVBS        83894912 83894912 -2147483648 2147483647 User -2147483648 2147483647 83894912 -2147483648 2147483647
 165  RO_URANGE_CVBS      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 166  RO_FRANGE_CVBS      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 167  RO_DEFCUR_CVBS    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 168  GO_URANGE_CVBS      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 169  GO_FRANGE_CVBS      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 170  GO_DEFCUR_CVBS    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 171  BO_URANGE_CVBS      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 172  BO_FRANGE_CVBS      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 173  BO_DEFCUR_CVBS    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 174  RG_URANGE_CVBS      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 175  RG_FRANGE_CVBS      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 176  RG_DEFCUR_CVBS    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 177  GG_URANGE_CVBS      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 178  GG_FRANGE_CVBS      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 179  GG_DEFCUR_CVBS    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 180  BG_URANGE_CVBS      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 181  BG_FRANGE_CVBS      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 182  BG_DEFCUR_CVBS    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 183  TEMP_COOL_CVBS       4960    4960       0   10000 User          0      10000    4960       0   10000
 184  TEMP_WARM_CVBS       4460    4460       0   10000 User          0      10000    4460       0   10000
 185  TEMP_NORM_CVBS       4770    4770       0   10000 User          0      10000    4770       0   10000
 186  Contrast_YC            68      68       0     100 User          0        100      68       0     100
 187  Brightness_YC          41      41       0     100 User          0        100      41       0     100
 188  Color_YC               58      58       0     100 User          0        100      58       0     100
 189  Tint_YC                50      50       0     100 User          0        100      50       0     100
 190  Sharpness_YC           63      63       0     100 User          0        100      63       0     100
 191  ColorTemp_YC            1       1       0       2 User          0          2       1       0       2
 192  Spatial_YC              1       1       0       1 User          0          1       1       0       1
 193  Speckle_YC              1       1       0       1 User          0          1       1       0       1
 194  Temporal_YC             1       1       0       1 User          0          1       1       0       1
 195  Sharp_SVID_1           50      50       0   65535 User          0      65535      50       0   65535
 196  Sharp_SVID_2           50      50       0   65535 User          0      65535      50       0   65535
 197  Sharp_SVID_3           50      50       0   65535 User          0      65535      50       0   65535
 198  Sharp_SVID_4           50      50       0   65535 User          0      65535      50       0   65535
 199  EEParam_SVID_1    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 200  EEParam_SVID_2    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 201  EEParam_SVID_3    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 202  EEParam_SVID_4    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 203  Coeff1_SVID_1         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 204  Coeff1_SVID_2         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 205  Coeff1_SVID_3         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 206  Coeff1_SVID_4         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 207  Coeff2_SVID_1         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 208  Coeff2_SVID_2         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 209  Coeff2_SVID_3         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 210  Coeff2_SVID_4         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 211  NR_SVIDEO          607300  607300       0 2147483647 User          0 2147483647  607300       0 2147483647
 212  CVD2_SVideo       13407002 13407002 -2147483648 2147483647 User -2147483648 2147483647 13407002 -2147483648 2147483647
 213  CVD21_SVideo      83894912 83894912 -2147483648 2147483647 User -2147483648 2147483647 83894912 -2147483648 2147483647
 214  RO_URANGE_SVID      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 215  RO_FRANGE_SVID      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 216  RO_DEFCUR_SVID    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 217  GO_URANGE_SVID      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 218  GO_FRANGE_SVID      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 219  GO_DEFCUR_SVID    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 220  BO_URANGE_SVID      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 221  BO_FRANGE_SVID      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 222  BO_DEFCUR_SVID    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 223  RG_URANGE_SVID      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 224  RG_FRANGE_SVID      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 225  RG_DEFCUR_SVID    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 226  GG_URANGE_SVID      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 227  GG_FRANGE_SVID      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 228  GG_DEFCUR_SVID    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 229  BG_URANGE_SVID      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 230  BG_FRANGE_SVID      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 231  BG_DEFCUR_SVID    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 232  TEMP_COOL_SVID       4940    4940       0   10000 User          0      10000    4940       0   10000
 233  TEMP_WARM_SVID       4450    4450       0   10000 User          0      10000    4450       0   10000
 234  TEMP_NORM_SVID       4765    4765       0   10000 User          0      10000    4765       0   10000
 235  Contrast_YUV           60      60       0     100 User          0        100      60       0     100
 236  Brightness_YUV         47      47       0     100 User          0        100      47       0     100
 237  Color_YUV              53      53       0     100 User          0        100      53       0     100
 238  Tint_YUV               50      50       0     100 User          0        100      50       0     100
 239  Sharpness_YUV          59      59       0     100 User          0        100      59       0     100
 240  ColorTemp_YUV           1       1       0       2 User          0          2       1       0       2
 241  Spatial_YUV             1       1       0       1 User          0          1       1       0       1
 242  Speckle_YUV             1       1       0       1 User          0          1       1       0       1
 243  Temporal_YUV            1       1       0       1 User          0          1       1       0       1
 244  Sharp_COMP_1           50      50       0   65535 User          0      65535      50       0   65535
 245  Sharp_COMP_2           50      50       0   65535 User          0      65535      50       0   65535
 246  Sharp_COMP_3           50      50       0   65535 User          0      65535      50       0   65535
 247  Sharp_COMP_4           50      50       0   65535 User          0      65535      50       0   65535
 248  EEParam_COMP_1    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 249  EEParam_COMP_2    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 250  EEParam_COMP_3    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 251  EEParam_COMP_4    1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 252  Coeff1_COMP_1         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 253  Coeff1_COMP_2         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 254  Coeff1_COMP_3         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 255  Coeff1_COMP_4         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 256  Coeff2_COMP_1         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 257  Coeff2_COMP_2         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 258  Coeff2_COMP_3         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 259  Coeff2_COMP_4         107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 260  NR_COMP            607300  607300       0 2147483647 User          0 2147483647  607300       0 2147483647
 261  9938_Comp_Off     11243904 11243904       0 16777215 User          0   16777215 11243904       0 16777215
 262  9938_Comp_Gain    14470880 14470880       0 16777215 User          0   16777215 14470880       0 16777215
 263  RO_URANGE_COMP      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 264  RO_FRANGE_COMP      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 265  RO_DEFCUR_COMP    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 266  GO_URANGE_COMP      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 267  GO_FRANGE_COMP      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 268  GO_DEFCUR_COMP    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 269  BO_URANGE_COMP      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 270  BO_FRANGE_COMP      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 271  BO_DEFCUR_COMP    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 272  RG_URANGE_COMP      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 273  RG_FRANGE_COMP      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 274  RG_DEFCUR_COMP    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 275  GG_URANGE_COMP      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 276  GG_FRANGE_COMP      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 277  GG_DEFCUR_COMP    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 278  BG_URANGE_COMP      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 279  BG_FRANGE_COMP      10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 280  BG_DEFCUR_COMP    327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 281  TEMP_COOL_COMP       5024    5024       0   10000 User          0      10000    5024       0   10000
 282  TEMP_WARM_COMP       4674    4674       0   10000 User          0      10000    4674       0   10000
 283  TEMP_NORM_COMP       4889    4889       0   10000 User          0      10000    4889       0   10000
 284  Contrast_RGB           56      56       0     100 User          0        100      56       0     100
 285  Brightness_RGB         50      50       0     100 User          0        100      50       0     100
 286  Color_RGB              67      67       0     100 User          0        100      67       0     100
 287  Tint_RGB               50      50       0     100 User          0        100      50       0     100
