0x4868718C CVD2_CVD1_VBI_CLOSE_CAPTION_DATA2_REGISTER3
0x48687190 CVD2_CVD1_VBI_CLOSE_CAPTION_DATA1_REGISTER4
0x48687194 CVD2_CVD1_VBI_DATA_STATUS_REGISTER
0x48687198 CVD2_CVD1_VBI_CAPTION_START_REGISTER
0x4868719C CVD2_CVD1_VBI_WSS625WSSJ_START_REGISTER
0x486871A0 CVD2_CVD1_VBI_TELETEXT_START_REGISTER
0x486871A8 CVD2_CVD1_VBI_DATA_TYPE_CONFIGURATION_REGISTER_FOR_LINE6
0x486871B4 CVD2_CVD1_VBI_WSS_DATA2_REGISTER
0x486871B8 CVD2_CVD1_VBI_WSS_DATA1_REGISTER
0x486871BC CVD2_CVD1_VBI_WSS_DATA0_REGISTER
0x486871C0 CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_STATUS0
0x486871C4 CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_STATUS1
0x486871C8 CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_STATUS2
0x486871CC CVD2_HORIZONTAL_SYNC_DTO_INCREMENT_STATUS3
0x486871D0 CVD2_CHROMA_SYNC_DTO_INCREMENT_STATUS0
0x486871D4 CVD2_CHROMA_SYNC_DTO_INCREMENT_STATUS1
0x486871D8 CVD2_CHROMA_SYNC_DTO_INCREMENT_STATUS2
0x486871DC CVD2_CHROMA_SYNC_DTO_INCREMENT_STATUS3
0x486871E0 CVD2_AGC_GAIN_STATUS_MSB
0x486871E4 CVD2_AGC_GAIN_STATUS_LSB
0x486871E8 CVD2_CHROMA_MAGNITUDE_STATUS
0x486871EC CVD2_CHROMA_GAIN_STATUS0
0x486871F0 CVD2_CHROMA_GAIN_STATUS1
0x486871F4 CVD2_CORDIC_FREQUENCY_STATUS
0x486871F8 CVD2_SYNC_HEIGHT_STATUS
0x486871FC CVD2_CVD1_NOISE_STATUS
0x48687200 CVD2_CVD1_COMB_FILTER_THRESHOLD1
0x48687208 CVD2_CVD1_COMB_FILTER_CONFIG
0x4868720C CVD2_CVD1_CHROMA_LOCK_CONFIG
0x48687210 CVD2_CVD1_CHROMA_LOCK_MODE
0x48687214 CVD2_NON_STANDARD_SIGNAL_STATUS
0x48687218 CVD2_NON_STANDARD_SIGNAL_STATUS1
0x48687220 CVD2_CVD1_COLORSTRIPE_DETECTION_CONTROL
0x48687228 CVD2_CVD1_CHROMA_LOOPFILTER_STATE
0x4868722C CVD2_CVD1_CHROMA_HRESAMPLER_CONTROL
0x48687234 CVD2_CVD1_CHARGE_PUMP_DELAY_CONTROL
0x48687238 CVD2_CVD1_CHARGE_PUMP_ADJUSTMENT
0x4868723C CVD2_CVD1_CHARGE_PUMP_DELAY
0x48687240 CVD2_UPPER_BYTE_CVD1_VBI_VPS_DTO_REGISTER
0x48687244 CVD2_LOWER_BYTE_CVD1_VBI_VPS_DTO_REGISTER
0x48687248 CVD2_CVD1_VBI_VPS_FRAME_START_REGISTER
0x4868724C CVD2_CVD1_VBI_VPS_START_REGISTER
0x48687250 CVD2_CVD1_RGB_CNTL
0x48687254 CVD2_CVD1_B2_FLAGS
0x48687258 CVD2_CVD1_RGB_CONTRAST
0x4868725C CVD2_CVD1_RGB_BRIGHTNESS
0x48687260 CVD2_CVD1_RGB_CONTROL
0x48687264 CVD2_CVD1_RGB_CONTROL1
0x48687268 CVD2_CVD1_RGB_Y_DELAY
0x4868726C CVD2_CVD1_RGB_C_DELAY
0x486872B8 CVD2_2D_COMB_NOISE_THRESHOLD_REG
0x486872BC CVD2_CVD2_2D_COMB_NOISE_TRESHOLD_REGISTER
0x486872C0 CVD2_CVD2_2D_COMB_ADAPTIVE_GAIN_CONTROL_REGISTER0
0x486872C4 CVD2_CVD2_2D_COMB_ADAPTIVE_GAIN_CONTROL_REGISTER1
0x486872C8 CVD2_CVD2_2D_COMB_ADAPTIVE_GAIN_CONTROL_REGISTER2
0x486872CC CVD2_CVD2_2D_COMB_ADAPTIVE_GAIN_CONTROL_REGISTER3
0x486872D0 CVD2_CVD2_MOTION_DETECTOR_NOISE_THRESHOLD_REGISTER
0x486872D4 CVD2_CVD2_CHROMA_EDGE_ENHANCEMENT_REGISTER
0x486872D8 CVD2_CVD2_CONTROL_REGISTER
0x486872DC CVD2_CVD2_2D_COMB_FILTER_AND_NOTCH_FILTER_GAIN_REGISTER
0x486872E0 CVD2_CVD2_TEMPORAL_COMB_FILTER_GAIN_REGISTER
0x486872E8 CVD2_ACTIVE_VIDEO_VERTICAL_START_FOR_FRAME_BUFFER
0x486872EC CVD2_ACTIVE_VIDEO_VERTICAL_HEIGHT_FOR_FRAME_BUFFER
0x486872F0 CVD2_HSYNC_PULSE_CONFIG
0x486872F4 CVD2_CHROMA_AGC_TIME_CONSTANT_CONTROL
0x486872F8 CVD2_CHROMA_AGC_CORING_FUNCTION_CONTROL
0x486872FC CVD2_ANTI_ALIASING_FILTER_CONTROL
0x48687300 CVD2_NEW_DCRESTORE_CNTL
0x48687304 CVD2_DCRESTORE_ACCUM_WIDTH
0x48687308 CVD2_MANUAL_GAIN_CONTROL
0x4868730C CVD2_BACKPORCH_KILL_THRESHOLD
0x48687310 CVD2_DCRESTORE_HORIZONTAL_MIDPOINT
0x48687314 CVD2_DCRESTORE_MIN_SYNC_HEIGHT
0x48687318 CVD2_VSYNC_SIGNAL_THRESHOLD
0x4868731C CVD2_VSYNC_NO_SIGNAL_THRESHOLD
0x48687320 CVD2_VSYNC_CNTL2
0x48687324 CVD2_VSYNC_POLARITY_CONTROL
0x48687328 CVD2_VBI_HDETECT_CNTL
0x4868732C CVD2_MACROVISION_PSEDUO_SYNC_RISING_START
0x4868732C CVD2_MACROVISION_PSEDUO_SYNC_RISING_START
0x48687330 CVD2_MACROVISION_PSEDUO_SYNC_RISING_END
0x48687334 CVD2_SLEW_POLARITY_THRESHOLD
0x48687338 CVD2_SLEW_THRESHOLD
0x4868733C CVD2_SLEW_CNTL2
0x48687340 CVD2_MOTION_DETECTOR_CONTROL
0x48687344 CVD2_MD_CF_LACTIVITY_LOW
0x48687348 CVD2_MD_CF_CACTIVITY_LOW
0x4868734C CVD2_MD_CF_LACTIVITY_HIGH
0x48687350 CVD2_MD_CF_CACTIVITY_HIGH
0x4868735C CVD2_MD_K_THRESHOLD
0x48687400 CVD2_IF_ENDCFG
0x48687404 CVD2_IF_HDCIFCFG
0x48687408 CVD2_IF_VBIWBS
0x4868740C CVD2_IF_VBIWBE
0x48687410 CVD2_IF_VBIWBO
0x48687414 CVD2_IF_VBIWBB
0x48687418 CVD2_IF_VBIWBCFG
0x4868741C CVD2_IF_VBIWBCTL
0x48687420 CVD2_IF_FBS
0x48687424 CVD2_IF_FBE
0x48687428 CVD2_IF_FWBO
0x4868742C CVD2_IF_FWBB
0x48687430 CVD2_IF_FWBCFG
0x48687434 CVD2_IF_F1RBO
0x48687438 CVD2_IF_F1RBB
0x4868743C CVD2_IF_F1RBCFG
0x48687440 CVD2_IF_F2RBO
0x48687444 CVD2_IF_F2RBB
0x48687448 CVD2_IF_F2RBCFG
0x4868744C CVD2_IF_F3RBO
0x48687450 CVD2_IF_F3RBB
0x48687454 CVD2_IF_F3RBCFG
0x48687458 CVD2_IF_F4RBO
0x4868745C CVD2_IF_F4RBB
0x48687460 CVD2_IF_F4RBCFG
0x48687464 CVD2_IF_FBCTL
0x48687468 CVD2_IF_FBHCTL
0x48687470 CVD2_IF_GLOBINTEN
0x48687474 CVD2_IF_INTEN
0x48687478 CVD2_IF_INT
0x4868747C CVD2_IF_INTSTAT
0x48687480 CVD2_IF_INTASTAT
0x48687484 CVD2_IF_CVD2S
0x48687488 CVD2_IF_VBIWBBW
0x4868748C CVD2_IF_VBIWBFSTAT
0x48687490 CVD2_IF_FWBFSTAT
0x48687494 CVD2_IF_F1RBFSTAT
0x48687498 CVD2_IF_F2RBFSTAT
0x4868749C CVD2_IF_F3RBFSTAT
0x486874A0 CVD2_IF_F4RBFSTAT
0x486874A4 CVD2_IF_HSYNC
0x486874A8 CVD2_IF_VSYNC
0x486874AC CVD2_IF_CHROMA
0x486874B0 CVD2_IF_LUMA
0x486874B4 CVD2_IF_ADBGAS
0x486874B8 CVD2_IF_ADBGBS
0x486874BC CVD2_IF_DDBGS
0x486874C0 CVD2_RAW_DATA_SIZE
0x486874C4 CVD2_RAW_DATA_LINE_START0
0x486874C8 CVD2_RAW_DATA_LINE_START1
0x48687800 VIDAFE_VAFECFG
0x48687804 VIDAFE_PGAGCFG
0x48687808 VIDAFE_CLPCURCFG
0x4868780C VIDAFE_PHASE
0x48687814 VIDAFE_ICSCFG
0x48687818 VIDAFE_CCICFG
0x4868781C VIDAFE_DEBUG_REG
0x48687820 VIDAFE_POWER1_CTL_REG
0x48687824 VIDAFE_POWER2_CTL_REG
0x48687900 GPADC_CTRL_REG
0x48687904 GPADC_START_REG
0x48687908 GPADC_STATUS_REG
0x4868790C GPADC_DATA_REG
0x48687910 AFE_BYPASS_CTL_REG
0x48687914 DEBUG_PIN_DEBUGBUS_O_SEL_REG
0x486879FC IFAFE_CTL_REG
0x48687A00 IFAFE_RST_REG
0x48687A04 IFAFE_VERSION_REG
0x48687A08 IFAFE_OPERATE0_REG
0x48687A10 IFAFE_RUN_CAL_REG
0x48687A14 IFAFE_REFCTRL0_REG
0x48687A18 IFAFE_REFCTRL1_REG
0x48687A20 IFAFE_SHIFTSH_REG
0x48687A24 IFAFE_SHIFTVGA_REG
